KCAT	Cupriavidus necator	-999	more	*kcat of 2-chloro-4-methyl-cis,cis-musconate is about 55% of that found for 2,4-dichloro-cis,cis-musconate
KCAT	Cupriavidus necator	10.2	2-methyl-cis,cis-muconate	*
KCAT	Cupriavidus necator	15.8	2-chloro-cis,cis-muconate	*
KCAT	Cupriavidus necator	51.5	cis,cis-muconate	*
KCAT	Cupriavidus necator	54.8	3-methyl-cis,cis-muconate	*
KCAT	Cupriavidus necator	63.7	2,4-dichloro-cis,cis-muconate	*
KCAT	Cupriavidus necator	119	3-chloro-cis,cis-muconate	*
KM	Cupriavidus necator	0.02	2,4-dichloro-cis,cis-muconate	*
KM	Cupriavidus necator	0.06	2-chloro-4-methyl-cis,cis-muconate	*pH 8.0
KM	Cupriavidus necator	0.128	2-methyl-cis,cis-muconate	*
KM	Cupriavidus necator	0.158	3-methyl-cis,cis-muconate	*
KM	Cupriavidus necator	0.304	3-chloro-cis,cis-muconate	*
KM	Cupriavidus necator	0.502	2-chloro-cis,cis-muconate	*
KM	Cupriavidus necator	4.2	cis,cis-muconate	*
MW	Cupriavidus necator	40000	*	*6 * 40000, SDS-PAGE
MW	Cupriavidus necator	270000	*	*gel filtration
PATH	*	1,4-dichlorobenzene degradation	*	*
PATH	*	3,5-dichlorocatechol degradation	*	*
PATH	*	Chlorocyclohexane and chlorobenzene degradation	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Cupriavidus necator	0.13	*	*enzyme from cells induced with 2-chloro-4-methylphenoxyacetic acid
SA	Cupriavidus necator	0.24	*	*enzyme from cells induced with 2,4-dichlorophenoxyacetic acid
SA	Cupriavidus necator	80.4	*	*
