KM	Paracoccus haeundaensis	0.035	lycopene	*pH 6.5, 30&Acirc;&deg;C, recombinant enzyme
MW	Paracoccus haeundaensis	43000	*	*x * 43000, recombinant enzyme, SDS-PAGE
MW	Synechococcus elongatus	46125	*	*x * 46125, calculated from sequence
MW	Ficus carica	56000	*	*x * 56000, recombinant enzyme, SDS-PAGE
MW	Lycium chinense	56600	*	*calculated from amino acid sequence
MW	Rhodotorula diobovata	65630	*	*x * 65630, sequence calculation
MW	Capsicum annuum	66000	*	*1 * 66000, SDS-PAGE
PATH	*	beta-carotene biosynthesis	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Carotenoid biosynthesis	*	*
PATH	*	carotenoid biosynthesis	*	*
PATH	*	chlorobactene biosynthesis	*	*
PATH	*	flexixanthin biosynthesis	*	*
PATH	*	isorenieratene biosynthesis I (actinobacteria)	*	*
PATH	*	lutein biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	myxol-2' fucoside biosynthesis	*	*
PATH	*	okenone biosynthesis	*	*
SA	Paracoccus haeundaensis	-999	*	*recombinant enzyme expression yielding 103 ng beta-carotene/ml supernatant/h
SA	Paracoccus haeundaensis	0.356	*	*purified recombinant enzyme, pH 6.5, 30&deg;C
