KM	Streptomyces peucetius	0.0521	methyl aklanonate	*pH 7.0, 30&deg;C
MW	Streptomyces peucetius	16000	*	*x * 16000, SDS-PAGE
MW	Streptomyces peucetius	16572	*	*x * 16572, electrospray MS analysis
MW	Streptomyces sp.	18495	*	*x * 18495, calculated from sequence
PATH	*	aclacinomycin biosynthesis	*	*
PATH	*	aclacinomycin biosynthesis	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Biosynthesis of type II polyketide products	*	*
PATH	*	daunorubicin biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Streptomyces peucetius	14.3	*	*pH 7.0, 30&deg;C
