KCAT	Escherichia coli	0.02	negatively supercoiled plasmid pXXZ06 DNA	*pH 7.9, 37&Acirc;&deg;C
KM	Homo sapiens	-999	more	*kinetic analysis, overview
KM	Vaccinia virus	-999	more	*analysis of kinetic and thermodynamic parameters for strand annealing of purified vaccinia Topo I-DNA covalent complex containing a single-strand overhang, and comparison to the same overhang duplex in the absence of vTopo, overview
KM	Escherichia coli	-999	more	*kinetics
KM	Escherichia coli	-999	more	*dissociation constants obtained for binding of wild-type EcTOP1, R169A, R173A and Y177S mutant enzymes to 3'-labeled 59 base hairpin oligonucleotide substrates, Oligo C, Oligo A and Oligo G, overview
KM	Escherichia coli	0.00000752	negatively supercoiled plasmid pXXZ06 DNA	*pH 7.9, 37&deg;C
SA	Drosophila sp. (in: Insecta)	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Trypanosoma cruzi	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Mus musculus	-999	*	*
SA	Rattus norvegicus	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Artemia franciscana	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Crithidia fasciculata	-999	*	*
SA	Gallus gallus	-999	*	*
SA	Nicotiana tabacum	-999	*	*
SA	Rhodobacter capsulatus	-999	*	*
SA	Homo sapiens	-999	*	*quantitative detection of enzyme activity in Hut 78 cells over several hours after transient induction by interleukin-2, overview
SA	Staphylococcus aureus	-999	*	*5000 U, with one unit topoisomerase activity defined as the amount of enzyme required to relax 50% of supercoiled pGEM3zf(-) DNA (200 ng) for 30 min at 37&deg;C, pH 8.0, in the presence of 5 mM of MgCl2, recombinant enzyme
SA	Escherichia coli	31700	*	*purified enzyme, pH 7.9, 37&deg;C
