KCAT	Escherichia coli K-12	5.94	putrescine	*pH 8.0 37&Acirc;&deg;C, recombinant enzyme
KM	Escherichia coli K-12	2.07	L-glutamate	*pH 8.0 37&deg;C, recombinant enzyme
KM	Escherichia coli K-12	2.35	ATP	*pH 8.0 37&deg;C, recombinant enzyme
KM	Escherichia coli K-12	44.6	putrescine	*pH 8.0 37&deg;C, recombinant enzyme
MW	Escherichia coli K-12	53000	*	*12 * 53000, recombinant enzyme, SDS-PAGE
MW	Escherichia coli K-12	630000	*	*recombinant enzyme, gel filtration
PATH	*	Arginine and proline metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	polyamine pathway	*	*
PATH	*	putrescine degradation II	*	*
SA	Escherichia coli K-12	12.7	*	*purified recombinant enzyme
