KCAT	Escherichia coli	-999	more	*
PATH	*	Lysine biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Peptidoglycan biosynthesis	*	*
PATH	*	peptidoglycan biosynthesis	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	*	*
SA	Escherichia coli	0.006	*	*purified recombinant mutant K202A, in presence of butylamine
SA	Escherichia coli	0.016	*	*purified recombinant mutant K202A
SA	Escherichia coli	0.032	*	*purified recombinant mutant K202A, in presence of propylamine
SA	Escherichia coli	0.04	*	*purified recombinant enzyme, 42&deg;C; purified recombinant murF2 mutant, 42&deg;C
SA	Escherichia coli	0.046	*	*purified recombinant mutant K202A, in presence of ethylamine
SA	Escherichia coli	0.052	*	*purified recombinant mutant K202A, in presence of formate
SA	Escherichia coli	0.062	*	*purified recombinant enzyme, 30&deg;C; purified recombinant murF2 mutant, 30&deg;C
SA	Escherichia coli	0.437	*	*purified recombinant mutant K202A, in presence of butyrate
SA	Escherichia coli	0.511	*	*purified recombinant mutant K202A, in presence of acetate
SA	Escherichia coli	0.55	*	*purified recombinant wild-type enzyme, in presence of methylamine
SA	Escherichia coli	0.71	*	*purified recombinant wild-type enzyme, in presence of propylamine
SA	Escherichia coli	0.72	*	*purified recombinant wild-type enzyme, in presence of butylamine
SA	Escherichia coli	0.76	*	*purified recombinant wild-type enzyme, in presence of propionate
SA	Escherichia coli	0.769	*	*purified recombinant mutant K202A, in presence of propionate
SA	Escherichia coli	0.8	*	*purified recombinant wild-type enzyme, in presence of ethylamine
SA	Escherichia coli	0.88	*	*purified recombinant wild-type enzyme, in presence of acetate
SA	Escherichia coli	0.93	*	*purified recombinant wild-type enzyme, in presence of formate
SA	Escherichia coli	1.24	*	*purified recombinant wild-type enzyme, in presence of butyrate
SA	Escherichia coli	1.27	*	*purified recombinant wild-type enzyme
SA	Escherichia coli	11.2	*	*purified recombinant wild-type enzyme, 30&deg;C
SA	Escherichia coli	13.9	*	*purified recombinant wild-type enzyme, 42&deg;C
