KCAT	Escherichia coli	-999	?	*the rate of 2'-phosphate cyclization by RtcA is five orders of magnitude slower than 3'-phosphate cyclization, notwithstanding that RtcA binds with similar affinity to RNA3'p and RNA2'p substrates
KM	Homo sapiens	0.0017	ATP	*
KM	Homo sapiens	0.002	ATP	*
KM	Homo sapiens	0.006	ATP	*
KM	Homo sapiens	0.006	ATP	*
KM	Homo sapiens	0.006	ATP	*
KM	Escherichia coli	0.02	ATP	*
KM	Escherichia coli	0.02	ATP	*pH 7.6, 25&Acirc;&deg;C
KM	Escherichia coli	0.1	GTP	*
KM	Homo sapiens	0.2	GTP	*
KM	Homo sapiens	0.2	GTP	*
KM	Homo sapiens	0.2	GTP	*
KM	Homo sapiens	0.006	ATPgammaS	*
KM	Homo sapiens	0.006	ATPgammaS	*ATP
KM	Homo sapiens	0.006	ATPgammaS	*ATP
MW	Homo sapiens	38000	*	*glycerol density gradient sedimentation, gel filtration
MW	Homo sapiens	38000	*	*glycerol density gradient sedimentation, gel filtration
MW	Homo sapiens	38000	*	*glycerol density gradient sedimentation, gel filtration
MW	Homo sapiens	39000	*	*SDS-PAGE
MW	Homo sapiens	39400	*	*calculated from cDNA
MW	Homo sapiens	40000	*	*SDS-PAGE
MW	Saccharomyces cerevisiae	40000	*	*predicted from open reading frame
MW	Sulfurisphaera tokodaii	40000	*	*SDS-PAGE
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	0.021	*	*
