KM	Acidaminococcus fermentans	0.00026	reduced ferredoxin [iron-sulfur] cluster	*at pH 6.8, temperature not specified in the publication
KM	Acidaminococcus fermentans	0.00042	reduced flavodoxin [iron-sulfur] cluster	*at pH 6.8, temperature not specified in the publication
KM	Acetobacterium woodii	0.085	NAD+	*pH 7.7, 30&deg;C
KM	Acetobacterium woodii	0.155	Na+/in	*pH 6, 30&deg;C
KM	Acetobacterium woodii	0.201	Na+/in	*pH 7.7, 30&deg;C
KM	Acetobacterium woodii	2.5	Na+/in	*pH 6.0, 30&deg;C
MW	Acetobacterium woodii	21400	*	*the enzyme complex is composed of at least six different subunits, x * 35000 (subunit RnfD), x * 22800 (subunit RnfG), x * 21600 (subunit RnfE), x * 21400 (subunit RnfA), x * 36600 (subunit RnfB), calculated from sequence
MW	Acetobacterium woodii	21600	*	*the enzyme complex is composed of at least six different subunits, x * 35000 (subunit RnfD), x * 22800 (subunit RnfG), x * 21600 (subunit RnfE), x * 21400 (subunit RnfA), x * 36600 (subunit RnfB), calculated from sequence
MW	Acetobacterium woodii	22800	*	*the enzyme complex is composed of at least six different subunits, x * 35000 (subunit RnfD), x * 22800 (subunit RnfG), x * 21600 (subunit RnfE), x * 21400 (subunit RnfA), x * 36600 (subunit RnfB), calculated from sequence
MW	Vibrio cholerae serotype O1	26000	*	*1 * 26000, recombinant isolated subunit RnfG, SDS-PAGE, 1 * 39000, recombinant isolated subunit RnfD, SDS-PAGE
MW	Acetobacterium woodii	35000	*	*the enzyme complex is composed of at least six different subunits, x * 35000 (subunit RnfD), x * 22800 (subunit RnfG), x * 21600 (subunit RnfE), x * 21400 (subunit RnfA), x * 36600 (subunit RnfB), calculated from sequence
MW	Acetobacterium woodii	36600	*	*the enzyme complex is composed of at least six different subunits, x * 35000 (subunit RnfD), x * 22800 (subunit RnfG), x * 21600 (subunit RnfE), x * 21400 (subunit RnfA), x * 36600 (subunit RnfB), calculated from sequence
MW	Vibrio cholerae serotype O1	39000	*	*1 * 26000, recombinant isolated subunit RnfG, SDS-PAGE, 1 * 39000, recombinant isolated subunit RnfD, SDS-PAGE
