KM	Homo sapiens	-999	more	*Km-value for copper varies insignificantly between different mutants and wild-type enzyme
KM	Homo sapiens	0.0009	ATP	*D1230A mutant, pH 6.8, 37&deg;C
KM	Homo sapiens	0.0036	ATP	*
KM	Homo sapiens	0.004	ATP	*DD1219/1220AA mutant, pH 6.8, 37&deg;C
KM	Homo sapiens	0.009	ATP	*R1208G mutant, pH 6.8, 37&deg;C
KM	Homo sapiens	0.01	ATP	*
KM	Homo sapiens	0.016	ATP	*wild type, pH 6.8, 37&deg;C
KM	Homo sapiens	0.017	ATP	*
KM	Homo sapiens	0.024	ATP	*K1097A mutant, pH 6.8, 37&deg;C
KM	Homo sapiens	0.15	ATP	*K1233M mutant, pH 6.8, 37&deg;C
KM	Homo sapiens	2.02	ATP	*H1086Q mutant, pH 6.8, 37&deg;C
MW	Glycine max	-999	*	*apparent mass of around 180-200 kDa in chloroplast and thylakoid membrane preparations
MW	Homo sapiens	64000	*	*x * 97000, splicing variant in cytosol and plasma membrane, SDS-PAGE, x * 64000, splicing variant in nucleus, SDS-PAGE
MW	Rattus norvegicus	64000	*	*x * 97000, splicing variant in cytosol and plasma membrane, SDS-PAGE, x * 64000, splicing variant in nucleus, SDS-PAGE
MW	Aquifex aeolicus	75000	*	*CtrA3 protein, SDS-PAGE
MW	Aquifex aeolicus	80000	*	*SDS-PAGE
MW	Homo sapiens	97000	*	*x * 97000, splicing variant in cytosol and plasma membrane, SDS-PAGE, x * 64000, splicing variant in nucleus, SDS-PAGE
MW	Rattus norvegicus	97000	*	*x * 97000, splicing variant in cytosol and plasma membrane, SDS-PAGE, x * 64000, splicing variant in nucleus, SDS-PAGE
MW	Saccharomyces cerevisiae	110000	*	*x * 110000, SDS-PAGE
MW	Drosophila melanogaster	150000	*	*x * 150000, SDS-PAGE
MW	Homo sapiens	165000	*	*x * 180000, ATP7A, SDS-PAGE, x * 165000, ATP7B, SDS-PAGE
MW	Homo sapiens	165000	*	*
MW	Homo sapiens	180000	*	*x * 180000, ATP7A, SDS-PAGE, x * 165000, ATP7B, SDS-PAGE
MW	Homo sapiens	195000	*	*x * 195000, GST-tagged enzyme, SDS-PAGE
MW	Plasmodium falciparum	298600	*	*calculated from amino acid sequence
SA	Mus musculus	-999	*	*ATP7A xpressed to a variable degree throughout the kidney, age-dependent intracellular localization, copper elevation results in the in vivo redistribution of ATP7A from intracellular compartments toward the basolateral membrane, ATP7A plays a major role in exporting copper via basolateral membranes and protects renal tissue against copper overload; renal copper homeostasis requires functional ATP7B, coexpression with ATP7A, kidneys of ATP7b(-/-) mice reveals metabolic alterations manifested by the appearance of highly fluorescent deposits, lack of notable copper accumulation in the Atp7b(-/-) kidney due to compensatory export of copper by ATP7A
SA	Homo sapiens	-999	*	*biochemical and structural characteristics of human copper-ATPases, unique sequence motifs in regulating ATP7A and ATP7B activity and trafficking, dual role of copper-transporting ATPase ATP7B in hepatocyte, transmembrane organization and catalytic cycle, sequence and predicted folding of transmembrane portion, metal-binding pockets of N-terminal domain and ATP-binding domain; biochemical and structural characteristics of human copper-ATPase, unique sequence motifs in regulating ATP7A and ATP7B activity and trafficking, transmembrane organization and catalytic cycle, sequence and predicted folding of transmembrane portion, metal binding pockets of N-terminal domain and ATP-binding domain
SA	Homo sapiens	-999	*	*structural features and major functional domains of human copper-ATPases shown, transport mechanism and regulation of catalytic activity, localization and trafficking in polarized cells, role metal-binding subdomains, comparison with orthologs from other species; structural features and major functional domains of human copper-ATPases, transport mechanism and regulation of catalytic activity, localization and trafficking in polarized cells, role metal-binding subdomains, comparison with orthologs from other species
